Country,Crime Index,Continent,2022 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Rural % Population,2019 HDI,ppi
venezuela,83.16,South America,28301696.0,916445.0,30.882,1.0036,0.35,11.675,0.711,12.72
papua new guinea,80.26,Oceania,10142619.0,462840.0,21.9139,1.0194,0.13,86.544,0.555,15.0
afghanistan,78.19,Asia,41128771.0,652230.0,63.0587,1.0257,0.52,73.686,0.511,19.12
south africa,75.37,Africa,59893885.0,1221037.0,49.0517,1.0084,0.75,32.153,0.709,77.84
honduras,74.66,Central America and Caribbean,10432860.0,112492.0,92.7431,1.015,0.13,41.018,0.634,31.41
trinidad and tobago,70.57,Central America and Caribbean,1531044.0,5130.0,298.4491,1.0035,0.02,46.735,0.796,37.35
guyana,68.93,South America,808726.0,214969.0,3.7621,1.0052,0.01,73.103,0.682,19.73
jamaica,68.29,Central America and Caribbean,2827377.0,10991.0,257.2447,0.9999,0.04,43.348,0.734,26.25
el salvador,67.59,Central America and Caribbean,6336392.0,21041.0,301.145,1.0035,0.08,25.882,0.673,20.48
syria,67.47,Middle East,22125249.0,185180.0,119.4797,1.0376,0.28,43.876,0.567,5.72
peru,67.24,South America,34049588.0,1285216.0,26.4933,1.0099,0.43,21.5,0.777,28.52
brazil,66.79,South America,215313498.0,8515767.0,25.2841,1.0046,2.7,12.683,0.765,27.28
angola,66.66,Africa,35588987.0,1246700.0,28.5466,1.0315,0.45,32.54,0.581,30.32
somalia,66.41,Africa,17597511.0,637657.0,27.5971,1.0312,0.22,53.269,0.361,30.7
cameroon,65.26,Africa,27914536.0,475442.0,58.7128,1.0263,0.35,41.852,0.563,16.95
namibia,64.97,Africa,2567012.0,825615.0,3.1092,1.0146,0.03,46.995,0.646,50.99
nigeria,64.09,Africa,218541212.0,923768.0,236.5759,1.0241,2.74,47.254,0.539,8.25
argentina,64.09,South America,45510318.0,2780400.0,16.3683,1.0052,0.57,7.771,0.845,33.64
bangladesh,63.06,Asia,171186372.0,147570.0,1160.035,1.0108,2.15,61.054,0.632,25.34
mozambique,62.94,Africa,32969517.0,801590.0,41.1302,1.0278,0.41,62.372,0.456,12.3
bahamas,62.91,Central America and Caribbean,409984.0,13943.0,29.4043,1.0051,0.01,16.635,0.814,44.22
puerto rico,61.77,Central America and Caribbean,3252407.0,8870.0,366.675,0.9989,0.04,6.408,0.845,65.41
dominican republic,61.49,Central America and Caribbean,11228821.0,48671.0,230.7087,1.01,0.14,16.787,0.756,21.62
libya,60.59,Africa,6812341.0,1759540.0,3.8717,1.0114,0.09,19.006,0.724,30.05
zimbabwe,59.61,Africa,16320537.0,390757.0,41.7665,1.0204,0.2,67.697,0.571,17.34
colombia,58.71,South America,51874024.0,1141748.0,45.4339,1.0069,0.65,18.26,0.767,28.27
bolivia,58.44,South America,12224110.0,1098581.0,11.1272,1.012,0.15,29.525,0.718,36.5
